Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Sensible Care Pty Ltd,"UNIT 3, 271 PARA ROAD",GREENSBOROUGH,VIC,3088,Northern Metro,Home Care,0,0,0,Sensible Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21197,Greensborough,20901,Banyule,Banyule,20660,PHN202,Eastern Melbourne,-37.7044739999999,145.107800999999
Northern Peninsula Area Home Care Services,52 Brown Street,NEW MAPOON,QLD,4876,Far North,Home Care,0,0,0,Northern Peninsula Area Regional Council,Local Government,Very Remote Australia,7,31399,Northern Peninsula,31501,Far North,Northern Peninsula Area,35780,PHN307,Northern Queensland,-10.869069,142.381381
Pop-Up Health,229 Greenhill Road,DULWICH,SA,5065,Metropolitan East,Home Care,0,0,0,Desjan Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.939756,138.625575999999
Hayee Aged Care Services Pty Ltd,"Suite 1, Level 1, 215-219 George Street",LIVERPOOL,NSW,2170,South West Sydney,Home Care,0,0,0,Hayee Aged Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11598,Liverpool,12703,Liverpool,Liverpool,14900,PHN105,South Western Sydney,-33.9232039999999,150.924479999999
North Eastern Community Home Care,580 Lower North East Road,CAMPBELLTOWN,SA,5074,Metropolitan East,Home Care,0,0,0,North Eastern Community Hospital Incorporated,Community Based,Major Cities of Australia,1,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.8829989999999,138.662126999999
Beaumont Home Care,1-60 Ziviani Road,WAMURAM,QLD,4512,Cabool,Home Care,0,0,0,Beaumont Care (Holdings) Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31369,Wamuran,31302,Caboolture,Moreton Bay,35010,PHN301,Brisbane North,-27.0206799999999,152.875631999999
Dementia and Aged Care Services - Bowral,10 Chittaway Road,OURIMBAH,NSW,2258,Central Coast,Home Care,0,0,0,Alzheimer's Association of Queensland Inc,Charitable,Major Cities of Australia,1,11051,Ourimbah - Fountaindale,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.3576419999999,151.380051
Dementia and Aged Care Services - Southern Highlands,10 Chittaway Road,OURIMBAH,NSW,2258,Central Coast,Home Care,0,0,0,Alzheimer's Association of Queensland Inc,Charitable,Major Cities of Australia,1,11051,Ourimbah - Fountaindale,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.3576419999999,151.380051
Dementia and Aged Care Services - New England,10 Chittaway Road,OURIMBAH,NSW,2258,Central Coast,Home Care,0,0,0,Alzheimer's Association of Queensland Inc,Charitable,Major Cities of Australia,1,11051,Ourimbah - Fountaindale,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.3576419999999,151.380051
Dementia and Aged Care Services - Central Coast,10 Chittaway Road,OURIMBAH,NSW,2258,Central Coast,Home Care,0,0,0,Alzheimer's Association of Queensland Inc,Charitable,Major Cities of Australia,1,11051,Ourimbah - Fountaindale,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.3576419999999,151.380051
Gold Coast Multi Service Centre,90 Allied Drive,ARUNDEL,QLD,4214,South Coast,Home Care,0,0,0,Alzheimer's Association of Queensland Inc,Charitable,Major Cities of Australia,1,31235,Arundel,30903,Gold Coast - North,Gold Coast,33430,PHN303,Gold Coast,-27.9394479999999,153.381079999999
St John's Home Care Packages Coen,41 Shephard Street,COEN,QLD,4892,Far North,Home Care,0,0,0,St John's Community Care Limited,Community Based,Very Remote Australia,7,31396,Cape York,31501,Far North,Cook,32500,PHN307,Northern Queensland,-13.948251,143.199072
St John's Home Care Packages Tablelands,5 Quill Street,MAREEBA,QLD,4880,Far North,Home Care,0,0,0,St John's Community Care Limited,Community Based,Outer Regional Australia,4,31170,Mareeba,30605,Tablelands (East) - Kuranda,Mareeba,34880,PHN307,Northern Queensland,-16.9936669999999,145.427566
St John's Home Care Packages Innisfail,120 Rankin Street,INNISFAIL,QLD,4860,Far North,Home Care,0,0,0,St John's Community Care Limited,Community Based,Outer Regional Australia,4,31159,Innisfail,30603,Innisfail - Cassowary Coast,Cassowary Coast,32260,PHN307,Northern Queensland,-17.519188,146.029148999999
St John's Home Care Packages Townsville,2 / 287 Ross River Road,AITKENVALE,QLD,4814,Northern,Home Care,0,0,0,St John's Community Care Limited,Community Based,Outer Regional Australia,2,31467,Aitkenvale,31802,Townsville,Townsville,37010,PHN307,Northern Queensland,-19.296797,146.766661999999
St John's Home Care Packages North Brisbane,241 Church Road,TAIGUM,QLD,4018,Brisbane North,Home Care,0,0,0,St John's Community Care Limited,Community Based,Major Cities of Australia,1,31045,Taigum - Fitzgibbon,30204,Sandgate,Brisbane,31000,PHN301,Brisbane North,-27.348244,153.048239999999
Torbay Home Care,"Unit 1, 43 Exeter Street",TORQUAY,QLD,4655,Wide Bay,Home Care,0,0,0,Torbay Lifestyles and Care Limited,Community Based,Inner Regional Australia,2,31520,Torquay - Scarness - Kawungan,31904,Hervey Bay,Fraser Coast,33220,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-25.2959819999999,152.865551
Respect Aged Care,50 Formby Road,DEVONPORT,TAS,7310,North Western,Home Care,0,0,0,Respect Group Limited,Charitable,Inner Regional Australia,3,61085,Devonport,60402,Devonport,Devonport,61610,PHN601,Tasmania,-41.18292,146.361401999999
Home Care Packages Moyne Shire Council,10 Princes Street,PORT FAIRY,VIC,3284,Barwon-South Western,Home Care,0,0,0,Moyne Shire Council,Local Government,Inner Regional Australia,5,21478,Moyne - West,21704,Warrnambool,Moyne,25490,PHN206,Western Victoria,-38.384554,142.238038999999
Trilogy Care,"LEVEL 3, 2 KING STREET",BOWEN HILLS,QLD,4006,Brisbane North,Home Care,0,0,0,Trilogy Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31128,Newstead - Bowen Hills,30503,Brisbane Inner - North,Brisbane,31000,PHN301,Brisbane North,-27.4529609999999,153.034051
Esse Care,"Unit 207, ECO BUILDING, 189-E SOUTH CENTRE Road",TULLAMARINE,VIC,3043,Western Metro,Home Care,0,0,0,Coburg Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21228,Keilor,21001,Keilor,Hume,23270,PHN201,North Western Melbourne,-37.705021,144.858663
MVAC,70 Marine Parade,SOUTHPORT,QLD,4215,South Coast,Home Care,0,0,0,Henley Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31540,Southport - North,30909,Southport,Gold Coast,33430,PHN303,Gold Coast,-27.964582,153.414299999999
Just Better Care Perth,"Unit 1, Level 1, 2 Burgay Court",OSBORNE PARK,WA,6017,Metropolitan North,Home Care,0,0,0,Just Better Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,51091,Osborne Park Industrial,50502,Stirling,Stirling,57910,PHN501,Perth North,-31.907097,115.801494
Just Better Care Melbourne West,"Office 15, Level 2, 90 Maribyrnong Street",FOOTSCRAY,VIC,3011,Western Metro,Home Care,0,0,0,Just Better Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21348,Footscray,21303,Maribyrnong,Maribyrnong,24330,PHN201,North Western Melbourne,-37.8080319999999,144.905593
SereneCare,"Suite 1A, 420 VICTORIA STREET",BRUNSWICK,VIC,3056,Northern Metro,Home Care,0,0,0,SereneCare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21105,Brunswick,20601,Brunswick - Coburg,Merri-bek,24700,PHN201,North Western Melbourne,-37.766573,144.956493999999
Lake Cathie Manor Aged Care,1379 Ocean Drive,LAKE CATHIE,NSW,2445,Mid North Coast,Residential,138,0,0,RACS PTY LTD,Private Incorporated Body,Inner Regional Australia,3,11162,Laurieton - Bonny Hills,10804,Port Macquarie,Port Macquarie-Hastings,16380,PHN109,North Coast,-31.5651709999999,152.838414
Rockpool Pelican Waters,17 Spitfire Banks Drive,PELICAN WATERS,QLD,4551,Sunshine Coast,Residential,150,0,0,Rockpool RAC Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31421,Golden Beach - Pelican Waters,31602,Caloundra,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.8385779999999,153.106880999999
Rockpool Songbird Oxley,11 WHIPBIRD PLACE,OXLEY,QLD,4075,Brisbane South,Residential,150,0,0,Rockpool RAC Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31275,Oxley (Qld),31001,Forest Lake - Oxley,Brisbane,31000,PHN302,Brisbane South,-27.551196,152.968112999999
Seasons Living Home Care,"Unit 5, 205 Leitchs Road",BRENDALE,QLD,4500,Cabool,Home Care,0,0,0,Seasons Living Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31394,Strathpine - Brendale,31403,Strathpine,Moreton Bay,35010,PHN301,Brisbane North,-27.325593,152.980127
The Buckland Convalescent Hospital,"Unit 1, 39 Hawkesbury Road",SPRINGWOOD,NSW,2777,Nepean,Home Care,0,0,0,The Buckland Convalescent Hospital,Community Based,Major Cities of Australia,1,11454,Springwood - Winmalee,12401,Blue Mountains,Blue Mountains,10900,PHN104,Nepean Blue Mountains,-33.692494,150.577174
Rockpool Carseldine,56 Plaza Place,CARSELDINE,QLD,4034,Brisbane North,Residential,150,0,0,Rockpool RAC Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31024,Carseldine,30201,Bald Hills - Everton Park,Brisbane,31000,PHN301,Brisbane North,-27.349665,153.024507999999
Bethanie Dalyellup,114 Norton Promenade,DALYELLUP,WA,6230,South West,Residential,120,0,0,The Bethanie Group Incorporated,Religious,Inner Regional Australia,2,51251,Dalyellup,50102,Bunbury,Capel,51400,PHN503,Country WA,-33.3972849999999,115.631063999999
Self Manged Support Pty Ltd trading as HomeMade Support,"Level 10, 255 Pitt Street",SYDNEY,NSW,2000,South East Sydney,Home Care,0,0,0,Self Managed Support Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,Sydney,17200,PHN101,Central and Eastern Sydney,-33.871828,151.207597999999
Yuendumu Old People's Program,69 Flynn Drive,GILLEN,NT,870,Alice Springs,National Aboriginal and Torres Strait Islander Aged Care Program,0,32,0,Western Desert Nganampa Walytja Palyantjaku Tjutaku Aboriginal Corporation,Community Based,Remote Australia,6,71047,Flynn (NT),70201,Alice Springs,Alice Springs,70200,PHN701,Northern Territory,-23.70623,133.85784
Carinity Home Care - Sunshine Coast,"Lot 99, 18 TEXTILE AVENUE",WARANA,QLD,4575,Sunshine Coast,Home Care,0,0,0,The Baptist Union of Queensland,Religious,Major Cities of Australia,1,31423,Parrearra - Warana,31602,Caloundra,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.730567,153.12384
Omeo District Health,12 Easton Street,OMEO,VIC,3898,Gippsland,Home Care,0,0,0,Omeo District Health,State Government,Outer Regional Australia,5,21082,Bruthen - Omeo,20502,Gippsland - East,East Gippsland,22110,PHN204,Gippsland,-37.09819,147.596599999999
RetireAustralia Home Care - SE QLD,269 Birkdale Road,BIRKDALE,QLD,4159,Brisbane South,Home Care,0,0,0,Retire Australia Care and Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31003,Birkdale,30101,Capalaba,Redland,36250,PHN302,Brisbane South,-27.491381,153.227265999999
My Guardian,"Suite 9A, Level 1, 2 Macarthur Avenue",REVESBY,NSW,2212,South West Sydney,Home Care,0,0,0,My Guardian Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11360,Revesby,11901,Bankstown,Canterbury-Bankstown,11570,PHN105,South Western Sydney,-33.9534039999999,151.014859999999
LiveBetter Services Limited - Mildura,"Unit 2, 42 Darling Street",WENTWORTH,NSW,2648,Orana Far West,Home Care,0,0,0,Livebetter Services Limited,Community Based,Outer Regional Australia,5,11178,Wentworth - Buronga,10902,Lower Murray,Wentworth,18200,PHN107,Western NSW,-34.1075239999999,141.918966
Just Better Care Melbourne - Outer East/Outer North East,"Suite 206, Level 2, 44 Lakeview Drive",SCORESBY,VIC,3179,Eastern Metro,Home Care,0,0,0,Just Better Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21254,Knoxfield - Scoresby,21101,Knox,Knox,23670,PHN202,Eastern Melbourne,-37.914087,145.217259
Just Better Care Hobart,103 Macquarie Street,HOBART,TAS,7000,Southern,Home Care,0,0,0,Just Better Care Australia Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,61027,Hobart,60105,Hobart Inner,Hobart,62810,PHN601,Tasmania,-42.882896,147.327562999999
Wintringham - Outer Northern Metro Region,"Level 1, 61 Riggal Street",BROADMEADOWS,VIC,3047,Northern Metro,Home Care,0,0,0,WINTRINGHAM LIMITED,Charitable,Major Cities of Australia,1,21242,Broadmeadows,21005,Tullamarine - Broadmeadows,Hume,23270,PHN201,North Western Melbourne,-37.676276,144.927444
LiveBetter Services Limited - Hume,"Unit 1, 432 Townsend Street",ALBURY,NSW,2640,Riverina/Murray,Home Care,0,0,0,Livebetter Services Limited,Community Based,Inner Regional Australia,2,11174,Albury - South,10901,Albury,Albury,10050,PHN205,Murray,-36.0840269999999,146.913166999999
Regis Camp Hill,15 Orwell Street,CAMP HILL,QLD,4152,Brisbane South,Residential,141,0,0,CPSM Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31047,Camp Hill,30301,Carindale,Brisbane,31000,PHN302,Brisbane South,-27.4922819999999,153.083988
Cunnamulla Multi-Purpose Service,56 WICKS Street,CUNNAMULLA,QLD,4490,South West,Multi-Purpose Service,10,0,0,Queensland Health,State Government,Very Remote Australia,7,31411,Far South West,31503,Outback - South,Paroo,35800,PHN305,Western Queensland,-28.070091,145.686258
The Queenslea,1 SHENTON ROAD,CLAREMONT,WA,6010,Metropolitan North,Residential,134,0,0,Oryx Communities AP Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,51031,Claremont (WA),50301,Cottesloe - Claremont,Claremont,51750,PHN501,Perth North,-31.9786199999999,115.784321
Just Better Care Geelong,"Suite 4, 75-77 Roslyn Road",BELMONT,VIC,3216,Barwon-South Western,Home Care,0,0,0,Just Better Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21037,Belmont,20302,Geelong,Greater Geelong,22750,PHN206,Western Victoria,-38.175688,144.343494999999
Arcare Thornlands,1-9 George Thorn Drive,THORNLANDS,QLD,4164,Brisbane South,Residential,92,0,0,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,31012,Thornlands,30102,Cleveland - Stradbroke,Redland,36250,PHN302,Brisbane South,-27.556614,153.275342999999
Vision Australia - Sunshine (Melbourne),20 Withers Street,SUNSHINE,VIC,3020,Western Metro,Home Care,0,0,0,Vision Australia Limited,Charitable,Major Cities of Australia,1,21336,Sunshine,21301,Brimbank,Brimbank,21180,PHN201,North Western Melbourne,-37.7863019999999,144.834008
Vision Australia - Geelong,79 High Street,BELMONT,VIC,3216,Barwon-South Western,Home Care,0,0,0,Vision Australia Limited,Charitable,Major Cities of Australia,1,21037,Belmont,20302,Geelong,Greater Geelong,22750,PHN206,Western Victoria,-38.171618,144.346646999999
Vision Australia - Ballarat,14 Coltman Plaza,LUCAS,VIC,3350,Grampians,Home Care,0,0,0,Vision Australia Limited,Charitable,Inner Regional Australia,2,21001,Alfredton,20101,Ballarat,Ballarat,20570,PHN206,Western Victoria,-37.543576,143.784125999999
Royalty Scope Nursing Services,6 Hollings Crescent,HEATHCOTE,NSW,2233,South East Sydney,Home Care,0,0,0,Royalty Scope Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11533,Heathcote - Waterfall,12802,Sutherland - Menai - Heathcote,Sutherland,17150,PHN101,Central and Eastern Sydney,-34.0809209999999,151.008456999999
Yarram and District Health Service,85-91 Commercial Road,YARRAM,VIC,3971,Gippsland,Home Care,0,0,0,Yarram & District Health Service,State Government,Inner Regional Australia,5,21104,Yarram,20505,Wellington,Wellington,26810,PHN204,Gippsland,-38.556963,146.677712
Garden Village Port Macquarie,7 Garden Crescent,PORT MACQUARIE,NSW,2444,Mid North Coast,Home Care,0,0,0,Garden Village Port Macquarie,Charitable,Inner Regional Australia,3,11164,Port Macquarie - West,10804,Port Macquarie,Port Macquarie-Hastings,16380,PHN109,North Coast,-31.4338559999999,152.896988999999
Boroondara Aged Care Services Society,6 Rochester Road,CANTERBURY,VIC,3126,Eastern Metro,Home Care,0,0,0,Boroondara Aged Services Society,Community Based,Major Cities of Australia,1,21155,Surrey Hills (West) - Canterbury,20701,Boroondara,Boroondara,21110,PHN202,Eastern Melbourne,-37.823013,145.081659
Sawtell Home Care,3 Marian Place,TOORMINA,NSW,2452,Mid North Coast,Home Care,0,0,0,The Trustees of the Roman Catholic Church for the Diocese of Lismore Sawtell Catholic Care of the Aged Committee,Religious,Inner Regional Australia,3,11089,Sawtell - Boambee,10402,Coffs Harbour,Coffs Harbour,11800,PHN109,North Coast,-30.348049,153.089285999999
Jesmond at Home,81 Albert Road,STRATHFIELD,NSW,2135,Inner West,Home Care,0,0,0,Jesmond Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11575,Strathfield,12003,Strathfield - Burwood - Ashfield,Strathfield,17100,PHN101,Central and Eastern Sydney,-33.872663,151.084892999999
South West Aboriginal Medical Service,"UNIT 5, 55 FORREST AVENUE",SOUTH BUNBURY,WA,6230,South West,Transition Care,0,0,20,Government of Western Australia,State Government,Inner Regional Australia,2,51253,South Bunbury - Bunbury,50102,Bunbury,Bunbury,51190,PHN503,Country WA,-33.3399059999999,115.646242
Home Care Assistance Sydney City & East,"Suite 604, 152 Bunnerong Road",EASTGARDENS,NSW,2036,South East Sydney,Home Care,0,0,0,Samjez Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11323,Pagewood - Hillsdale - Daceyville,11701,Botany,Bayside (NSW),10500,PHN101,Central and Eastern Sydney,-33.9448119999999,151.224255999999
Bayside City Council,76 Royal Avenue,SANDRINGHAM,VIC,3191,Southern Metro,Home Care,0,0,0,Bayside City Council,Local Government,Major Cities of Australia,1,21173,Sandringham - Black Rock,20801,Bayside,Bayside (Vic.),20910,PHN203,South Eastern Melbourne,-37.95891,145.016541999999
Broome Regional Aboriginal Medical Service,2 Dora Street,BROOME,WA,6725,Kimberley,Transition Care,0,0,10,Government of Western Australia,State Government,Remote Australia,6,51262,Broome,51001,Kimberley,Broome,50980,PHN503,Country WA,-17.961537,122.229753
Respect Home Care - North West Tasmania,50 Formby Road,DEVONPORT,TAS,7310,North Western,Home Care,0,0,0,Respect Group Limited,Charitable,Inner Regional Australia,3,61085,Devonport,60402,Devonport,Devonport,61610,PHN601,Tasmania,-41.18292,146.361401999999
EACH ACT Short-Term Restorative Care,"UNIT 1, 57 EYRE STREET",KINGSTON,ACT,2604,ACT,Short-Term Restorative Care (STRC),0,0,10,EACH,Charitable,Major Cities of Australia,1,81131,Kingston (ACT),80106,South Canberra,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.3144339999999,149.146154999999
Cooinda Village Inc,1 -35 Kilfeera Road,BENALLA,VIC,3672,Hume,Short-Term Restorative Care (STRC),0,0,17,Cooinda Village Inc,Community Based,Inner Regional Australia,4,21063,Benalla,20402,Wangaratta - Benalla,Benalla,21010,PHN205,Murray,-36.5564449999999,145.997692
RDNS - STRC - Western Sydney,62 O'Connell Street,PARRAMATTA,NSW,2150,Western Sydney,Short-Term Restorative Care (STRC),0,0,5,Royal District Nursing Service Limited,Charitable,Major Cities of Australia,1,11489,North Parramatta,12504,Parramatta,Parramatta,16260,PHN103,Western Sydney,-33.8041059999999,151.003190999999
Bolton Point - STRC - Mackay,2 Leisure Court,SOUTH MACKAY,QLD,4740,Mackay,Short-Term Restorative Care (STRC),0,0,10,RSL Care RDNS Limited,Charitable,Inner Regional Australia,2,31356,South Mackay,31202,Mackay,Mackay,34770,PHN307,Northern Queensland,-21.164244,149.182357999999
Bolton Clarke - STRC - Northern,9 Havana Street,ROWES BAY,QLD,4810,Northern,Short-Term Restorative Care (STRC),0,0,8,RSL Care RDNS Limited,Charitable,Outer Regional Australia,2,31469,Belgian Gardens - Pallarenda,31802,Townsville,Townsville,37010,PHN307,Northern Queensland,-19.237034,146.785649
annecto ACT STRC,71 Mawson Place,MAWSON,ACT,2607,ACT,Short-Term Restorative Care (STRC),0,0,10,Annecto Inc,Charitable,Major Cities of Australia,1,81106,Mawson,80109,Woden Valley,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.365734,149.094325999999
annecto Queensland STRC,15-76 Wises Road,BUDERIM,QLD,4556,Sunshine Coast,Short-Term Restorative Care (STRC),0,0,8,Annecto Inc,Charitable,Major Cities of Australia,1,31413,Buderim - North,31601,Buderim,Sunshine Coast,36720,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",-26.671914,153.093449999999
KNC Home Care Services,1166 Mona Vale Road,ST IVES,NSW,2075,Northern Sydney,Short-Term Restorative Care (STRC),0,0,7,Ku-Ring-Gai Neighbourhood Centre Inc,Community Based,Major Cities of Australia,1,11410,St Ives,12103,Ku-ring-gai,Ku-ring-gai,14500,PHN102,Northern Sydney,-33.7223529999999,151.171440999999
Longer@Home,11 Waratah Crescent,FANNIE BAY,NT,820,Darwin,Short-Term Restorative Care (STRC),0,0,5,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Outer Regional Australia,2,71004,Fannie Bay - The Gardens,70101,Darwin City,Darwin,71000,PHN701,Northern Territory,-12.419741,130.838279
UPA - North Coast STRC,2-35 Bay Street,TWEED HEADS,NSW,2485,Far North Coast,Short-Term Restorative Care (STRC),0,0,4,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,1,11254,Tweed Heads,11203,Tweed Valley,Tweed,17550,PHN109,North Coast,-28.171225,153.540939
UPA - Orana Far West STRC,315 Macquarie Street,DUBBO,NSW,2830,Orana Far West,Short-Term Restorative Care (STRC),0,0,2,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,3,11101,Dubbo - South,10503,Dubbo,Dubbo,12390,PHN107,Western NSW,-32.26122,148.600367
UPA - Riverina Murray STRC,23 Albury Street,WAGGA WAGGA,NSW,2650,Riverina/Murray,Short-Term Restorative Care (STRC),0,0,3,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,3,11270,Wagga Wagga - West,11303,Wagga Wagga,Wagga Wagga,17750,PHN110,Murrumbidgee,-35.1133969999999,147.355301999999
UPA - Sydney STRC,123-157 Bungaree Road,PENDLE HILL,NSW,2145,Western Sydney,Short-Term Restorative Care (STRC),0,0,17,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,1,11493,Toongabbie - Constitution Hill,12504,Parramatta,Parramatta,16260,PHN103,Western Sydney,-33.799621,150.960523999999
PRONIA,7 Union Street,BRUNSWICK,VIC,3056,Northern Metro,Short-Term Restorative Care (STRC),0,0,20,Australian Greek Welfare Society Ltd,Community Based,Major Cities of Australia,1,21105,Brunswick,20601,Brunswick - Coburg,Merri-bek,24700,PHN201,North Western Melbourne,-37.774273,144.959744999999
Feros Care STRC NSW Far North Coast,"Level 3, 72-80 Marine Parade",COOLANGATTA,QLD,4225,South Coast,Short-Term Restorative Care (STRC),0,0,9,Feros Care,Community Based,Major Cities of Australia,1,31230,Coolangatta,30902,Coolangatta,Gold Coast,33430,PHN303,Gold Coast,-28.1680889999999,153.538555
Feros Care STRC NSW Northern Sydney,"Level 3, 72-80 Marine Parade",COOLANGATTA,QLD,4225,South Coast,Short-Term Restorative Care (STRC),0,0,10,Feros Care,Community Based,Major Cities of Australia,1,31230,Coolangatta,30902,Coolangatta,Gold Coast,33430,PHN303,Gold Coast,-28.1680889999999,153.538555
integratedliving TAS,22 Earl Street,LAUNCESTON,TAS,7260,Northern,Short-Term Restorative Care (STRC),0,0,8,Integratedliving Australia Ltd,Community Based,Inner Regional Australia,2,61038,Launceston,60201,Launceston,Launceston,64010,PHN601,Tasmania,-41.436729,147.139389999999
McLean Care STRC NSW,67 Killean Street,INVERELL,NSW,2360,New England,Short-Term Restorative Care (STRC),0,0,23,McLean Care Ltd,Charitable,Outer Regional Australia,4,11191,Inverell,11002,Inverell - Tenterfield,Inverell,14220,PHN108,Hunter New England and Central Coast,-29.760435,151.135432
McLean Care STRC Queensland,21 Cherry Street,OAKEY,QLD,4401,Darling Downs,Short-Term Restorative Care (STRC),0,0,15,McLean Care Ltd,Charitable,Inner Regional Australia,5,31180,Jondaryan,30702,Darling Downs - East,Toowoomba,36910,PHN304,Darling Downs and West Moreton,-27.433125,151.717139
Enrich Living Services ACT,55 Burkitt Street,PAGE,ACT,2614,ACT,Short-Term Restorative Care (STRC),0,0,11,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,81023,Page,80101,Belconnen,Unincorporated ACT,89399,PHN801,Australian Capital Territory,-35.2360249999999,149.055509
myHomecare NSW,"Unit 1, 2 A Bounty Close",TUGGERAH,NSW,2259,Central Coast,Short-Term Restorative Care (STRC),0,0,41,MyHomecare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11055,Tuggerah - Kangy Angy,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.3220249999999,151.426693
Prompt Care STRC - EMR,722 High Street,KEW EAST,VIC,3102,Eastern Metro,Short-Term Restorative Care (STRC),0,0,5,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21154,Kew East,20701,Boroondara,Boroondara,21110,PHN202,Eastern Melbourne,-37.7975509999999,145.055116999999
Prompt Care STRC - NMR,722 High Street,KEW EAST,VIC,3102,Eastern Metro,Short-Term Restorative Care (STRC),0,0,5,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,21154,Kew East,20701,Boroondara,Boroondara,21110,PHN202,Eastern Melbourne,-37.7975509999999,145.055116999999
Prompt Care STRC - Northern Tasmania,90 Oldaker Street,LAUNCESTON,TAS,7250,North Western,Short-Term Restorative Care (STRC),0,0,4,The Carers' Phone Pty Ltd,Private Incorporated Body,Outer Regional Australia,3,61085,Devonport,60402,Devonport,Devonport,61610,PHN601,Tasmania,-41.17522,146.348558999999
Prompt Care STRC - North Western Tasmania,90 Oldaker Street,DEVONPORT,TAS,7310,North Western,Short-Term Restorative Care (STRC),0,0,4,The Carers' Phone Pty Ltd,Private Incorporated Body,Outer Regional Australia,3,61085,Devonport,60402,Devonport,Devonport,61610,PHN601,Tasmania,-41.175224,146.350752
Prompt Care STRC - Southern Tasmania,63  MAIN ROAD,MOONAH,TAS,7009,Southern,Short-Term Restorative Care (STRC),0,0,6,The Carers' Phone Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,61019,Moonah,60103,Hobart - North West,Glenorchy,62610,PHN601,Tasmania,-42.847639,147.29585
BaptistCare at home-Central West,3-119 Kendal Street,COWRA,NSW,2794,Central West,Short-Term Restorative Care (STRC),0,0,4,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,4,11063,Cowra,10302,Lachlan Valley,Cowra,12350,PHN107,Western NSW,-33.8348599999999,148.692471
